,california_housing | subsample | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | subsample | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | subsample | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),california_housing | gaussian | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | gaussian | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | gaussian | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),california_housing | count | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | count | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | count | sketch_size = m/4 = 5160 | residual_norms (3rd quartile),california_housing | subcount | sketch_size = m/4 = 5160 | residual_norms (median),california_housing | subcount | sketch_size = m/4 = 5160 | residual_norms (1st quartile),california_housing | subcount | sketch_size = m/4 = 5160 | residual_norms (3rd quartile)
14,0.1132317145184493,0.10992849362251436,0.1220267626930212,0.11838815772961418,0.11829796333673892,0.11885170867003075,0.11749302054857381,0.11664565263331025,0.11796237085291826,0.11864131317814366,0.11788603465779655,0.11866566067339557
15,0.09574004589696153,0.09532052421267197,0.10574991259761589,0.10311772454464449,0.1030738942443905,0.1032793145087291,0.10248883227821978,0.10158995553351799,0.10308839238896557,0.10320665414436894,0.10298498282348281,0.10344743869257758
16,0.0843222701519731,0.08010416315872175,0.09060077164696699,0.09005360224114475,0.0900076834937452,0.09027579134821515,0.089362280948105,0.0886594717988604,0.08959761457934347,0.09013240131264448,0.08983060032897155,0.09016602525278154
17,0.07305059226382694,0.07227069129492879,0.07910718234292315,0.07863234806946938,0.07849949868026163,0.07864696342079122,0.07839577707718107,0.07733377772578456,0.07857141405194969,0.07877396623139565,0.07827821258078908,0.07892723000177691
18,0.06346212806206575,0.06186410041382808,0.071520087785772,0.0687290501491726,0.068583099296242,0.06894865891071592,0.0687820724909373,0.06776798898646902,0.06888544754433658,0.06866191261616625,0.06847792254703658,0.06895566638626209
19,0.056761321018080464,0.055726317918171835,0.06153928579858505,0.060229081643734014,0.06012298095108461,0.060317281075328716,0.06009076621501814,0.05964067094384101,0.060284269813448046,0.060227490672961494,0.060223674085843774,0.06035799723700608
20,0.04908174366296088,0.048894446757333364,0.05233930354057915,0.05288010339199064,0.05275882810570098,0.05291350088010094,0.05266777720464253,0.052412182494709754,0.05291138080297357,0.052827389913116196,0.05257344985149639,0.05293757479062501
21,0.041922394018038545,0.04147457012865862,0.04691639827973542,0.04644565152750954,0.04631235865886717,0.04663016105489519,0.046268374037979704,0.0459503958130665,0.04685409146368117,0.046453949954372464,0.04643944583364261,0.046475618012681
22,0.0386173662312066,0.03739393497745977,0.039730323723414944,0.040884802483044866,0.040698380089382626,0.04101919251055986,0.040756173922991024,0.040555543734110834,0.041327015030487996,0.04082445344550879,0.04065827239644952,0.04092102349889775
23,0.03156501307892555,0.030029614763202227,0.03426024585346114,0.03600771670088861,0.03574439195823262,0.03613923194012156,0.03596089772387432,0.035839174950730815,0.03644346897556292,0.03608720869341985,0.036083389160365714,0.03610686343154944
