,rcv1 | direct | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | direct | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | direct | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),rcv1 | cg | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | cg | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | cg | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),rcv1 | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | subsample | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile),rcv1 | count | sketch_size = m^(2/3) = 1307 | residual_norms (median),rcv1 | count | sketch_size = m^(2/3) = 1307 | residual_norms (1st quartile),rcv1 | count | sketch_size = m^(2/3) = 1307 | residual_norms (3rd quartile)
25,,,,,,,0.03486669755976549,0.03486669755976549,0.03486669755976549,,,
26,,,,,,,0.032858012384447556,0.032858012384447556,0.032858012384447556,,,
27,,,,,,,0.032394980099334836,0.032394980099334836,0.032394980099334836,,,
28,,,,,,,0.02795754480711414,0.02795754480711414,0.02795754480711414,,,
29,,,,,,,0.0284294700505982,0.0284294700505982,0.0284294700505982,,,
30,,,,,,,0.028332044163598233,0.028332044163598233,0.028332044163598233,,,
31,,,,,,,0.025232354115042033,0.025232354115042033,0.025232354115042033,,,
32,,,,,,,0.028094066851874707,0.028094066851874707,0.028094066851874707,,,
33,,,,,,,0.03112007684083254,0.03112007684083254,0.03112007684083254,,,
34,,,,,,,0.029568996018526264,0.029568996018526264,0.029568996018526264,,,
35,,,,,,,0.027603586032704804,0.027603586032704804,0.027603586032704804,,,
36,,,,,,,0.027920473424004572,0.027920473424004572,0.027920473424004572,,,
37,,,,,,,0.027334271355824103,0.027334271355824103,0.027334271355824103,,,
38,,,,,,,0.04305231151763485,0.04305231151763485,0.04305231151763485,,,
39,,,,,,,0.03454009605727453,0.03454009605727453,0.03454009605727453,,,
40,,,,,,,0.02811345468759681,0.02811345468759681,0.02811345468759681,,,
41,,,,,,,0.025616749861312627,0.025616749861312627,0.025616749861312627,,,
42,,,,,,,0.0265433773425467,0.0265433773425467,0.0265433773425467,,,
43,,,,,,,0.026821478204127273,0.026821478204127273,0.026821478204127273,,,
44,,,,,,,0.0282595857501499,0.0282595857501499,0.0282595857501499,,,
45,,,,,,,0.024459862438229067,0.024459862438229067,0.024459862438229067,,,
46,,,,,,,0.025559950276312606,0.025559950276312606,0.025559950276312606,,,
